full_name,included_libraries
juglab/VoidSeg,"keras, numpy, scikit-learn, scipy, six, stardist, tifffile, tqdm"
ddddwee1/TorchSUL,"loguru, moviepy, opencv-python, pyyaml, rich, tqdm"
yqtianust/EvalDNN,"foolbox, numba, numpy, opencv-python, pillow"
Vi45en/Pesidious,"gym, numpy, requests, sklearn"
ertsiger/gym-subgoal-automata,"graphviz, gym, numpy, pygame"
nusdbsystem/singa-auto,"docker, numpy, pandas, pillow, requests, requests-toolbelt, temp"
ploomber/ploomber,"autopep8, click, humanize, ipdb, ipython, jinja2, mistune, networkx, parso, posthog, pycodestyle, pydantic, pygments, pyyaml, sqlalchemy, sqlparse, tabulate, tqdm"
aim-uofa/AdelaiDet,"cloudpickle, editdistance, pillow, polygon3, rapidfuzz, scikit-image, shapely, tabulate, tensorboard, termcolor, tqdm, yacs"
jettify/pytorch-optimizer,torch
magenta/ddsp,"absl-py, apache-beam, cloudml-hypertune, crepe, dill, future, google-cloud-storage, librosa, mir-eval, numpy, pydub, scipy, six, tensorflow, tensorflow-datasets, tensorflow-probability, tensorflowjs, tflite-support"
firmai/atspy,"cachetools, cython, dataclasses, decorator, easydict, fbprophet, gunicorn, keras, lightgbm, numba, numexpr, numpy, pandas, pip-tools, pmdarima, psycopg2, pydantic, scikit-learn, scipy, seaborn, seasonal, sklearn, statsmodels, sympy, tblib, tensorflow, torch, tqdm, tweepy, typing, typing-extensions, xlrd"
rlouf/mcx,"jax, libcst, networkx, numpy, tqdm"
nir/jupylet,"glfw, gltflib, ipyevents, ipywidgets, jedi, jupyter, mido, moderngl, notebook, numpy, pillow, scipy, sounddevice, soundfile, tqdm, webcolors"
benedekrozemberczki/shapley,"numpy, scipy, six"
ANL-CEEESA/MIPLearn,"gurobipy, h5py, jinja2, networkx, numpy, pandas, pathos, pyomo, scikit-learn, scipy, tqdm"
S-aiueo32/lpips-pytorch,"torch, torchvision"
kdgutier/esrnn_torch,"numpy, pandas, torch"
stanford-futuredata/selection-via-proxy,"click, pandas, scipy, torch, torchvision, tqdm, typing-extensions"
MLMI2-CSSI/foundry,"globus-sdk, h5py, json2table, numpy, openpyxl, pandas, pydantic"
sherbold/autorank,"jinja2, numpy, pandas, scipy, statsmodels"
determined-ai/yogadl,"async-generator, boto3, filelock, google-cloud-storage, lmdb, lomond, websockets"
sebhaan/geobo,"numpy, pandas, pyvista, pyyaml, rasterio, scikit-image, scipy"
monarch-initiative/embiggen,"cache-decorator, compress-pickle, humanize, jinja2, numpy, packaging, pandas, pydot, scikit-learn, threadpoolctl, tqdm, validate-version-code"
sash-ko/simobility,"geojson, geopandas, haversine, pandas, pyarrow, pyyaml, requests, scipy, shapely, transitions"
iamsaswata/imdlib,"numpy, pandas, python-dateutil, pytz, requests, scipy, six, urllib3, xarray"
machinecurve/extra_keras_datasets,"numpy, pandas, scikit-learn, scipy"
wellcometrust/WellcomeML,"boto3, cython, tqdm, twine"
FredaXin/eda_and_beyond,"numpy, pandas, seaborn, sklearn"
bryanhe/dynamic,"numpy, opencv-python, pandas, scikit-image, sklearn, torch, torchvision, tqdm"
banditml/faucetml,"feast, pandas, retry, scipy, torch"
UBC-NLP/AraNet,"keras, numpy, pandas, sklearn, tensorflow-gpu, torch, transformers"
nikikilbertus/fairensics,"aif360, cvxpy, numpy, pandas, scipy, sklearn"
luuleitner/deepMTJ,"keras, numpy, pandas, scikit-image, scikit-learn, tensorflow, tqdm"
Hamza5/Pipeline-diacritizer,"numpy, tensorflow"
andimarafioti/tifresi,"cython, librosa, numba, numpy"
EdwardRaff/pyBWMD,"cython, numpy, scipy"
airaria/TextBrewer,numpy
lezcano/geotorch,torch
gasteigerjo/dimenet,"numpy, scipy, sympy, tensorflow, tensorflow-addons, tqdm"
clovaai/generative-evaluation-prdc,"joblib, numpy, scikit-learn, scipy"
yifding/hetseq,"boto3, chardet, cython, datasets, h5py, idna, numpy, python-dateutil, sphinx, sphinx-rtd-theme, torch, torchvision, tqdm, transformers"
prajjwal1/fluence,numpy
ziatdinovmax/GPim,"gpytorch, numpy, pyro-ppl, scipy, torch"
jgmakin/ecog2txt,"numpy, pandas, pyyaml, scipy, seaborn, tensorflow, tensorflow-probability"
DunZhang/KnowledgeDistillation,torch
ServiceNow/synbols,h5py
maituoy/BayesianOpt4dftu,"ase, numpy, pandas, pymatgen, vaspvis"
waiyulam/ORCNN,"cloudpickle, future, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
koriavinash1/BioExp,"keras, numpy, opencv-python, pandas, pillow, scipy, simpleitk, sklearn, tensorflow-gpu, tqdm"
wellcometrust/deep_reference_parser,"keras, pandas, sklearn, spacy, tensorflow"
adgaudio/ietk-ret,"argparse, numpy, opencv-contrib-python, opencv-python, pillow, scikit-image, scipy"
deezer/fastgae,"networkx, numpy, scikit-learn, scipy, tensorflow"
arthurdjn/snake-reinforcement-learning,"numpy, pygame"
lsrock1/maskscoring_rcnn.detectron2,"cloudpickle, future, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
ina-foss/inaFaceAnalyzer,"av, cheetah3, dlib, h5py, onnxruntime-gpu, opencv-contrib-python, pandas, pyro4, scikit-learn, tensorflow, xlsxwriter"
bartongroup/2passtools,"click, click-log, numpy, pysam, scikit-learn"
radtorch/radtorch,"albumentations, grad-cam, numpy, pandas, pillow, pydicom, scikit-learn, seaborn, shap, simpleitk, torch, torchinfo, torchvision, tqdm"
cifkao/confugue,"pyyaml, wrapt"
bioinfomaticsCSU/LoopPredictor,"numpy, pandas, pathos, scikit-learn"
Statfactory/cortado,"numba, numpy, pandas"
google/NeuroNER-CSPMC,"networkx, scikit-learn, scipy, spacy"
sandialabs/shadow,"numpy, torch"
LukasHedegaard/datasetops,"numpy, pandas, pillow, scipy"
CrawfordGroup/MLQM,"numpy, scikit-learn"
zalandoresearch/pytorch-ts,"numpy, pandas, scipy, tensorboard, torch, tqdm"
thieu1995/mealpy,"numpy, opfunu, pandas, scipy"
hasanirtiza/Pedestron,"numpy, pycocotools, six, terminaltables, torch"
kwotsin/mimicry,"future, lmdb, numpy, pandas, pillow, pytest, pytest-cov, requests, scikit-image, scikit-learn, scipy, six, tensorflow, torch, torchvision"
MVIG-SJTU/AlphAction,"cython-bbox, easydict, opencv-python, scipy, tensorboardx, tqdm, yacs"
decisionforce/TPN,"joblib, lmdb, numpy, scikit-learn, scipy, terminaltables"
Megvii-BaseDetection/DynamicRouting,"cloudpickle, easydict, imagesize, pillow, portalocker, pycocotools, shapely, tabulate, tensorboard, termcolor, tqdm"
jonathanking/sidechainnet,"biopython, numpy, pandas, py3dmol, requests, scipy, setuptools, torch, tqdm"
cherubicXN/hawp,"cython, easydict, h5py, opencv-python, python-json-logger, scikit-image, seaborn, shapely, torch, torchvision, tqdm, yacs"
ChrisWaites/jax-flows,"jax, numpy, scipy, sklearn"
Total-RD/pymgrid,"cvxpy, gym, numpy, pandas, plotly, pyyaml, statsmodels, tqdm"
PengBoXiangShang/torchsketch,"cairosvg, gdown, imageio, numpy, patool, pdf2image, pillow, pyfiglet, pyunpack, scipy, torch, torchvision"
majianthu/pycopent,"numpy, scipy"
CompVis/iin,"numpy, scipy, torch, torchvision"
anguelos/tormentor,"torch, torchvision"
hh23333/PVPM,"cython, h5py, numpy, pillow, scipy, six, torch, torchvision"
doccano/doccano-transformer,"importlib-metadata, spacy"
Ibotta/mr_uplift,"dill, keras, numpy, pandas, sklearn, tensorflow"
biomedia-mira/blast-ct,"numpy, pandas, scipy, simpleitk, tensorboard, torch"
dmey/synthia,"numpy, scipy, xarray"
fladdimir/casymda,"flask, flatbuffers, networkx, numpy, pillow, simpy, xmltodict"
dtdannen/dcss-ai-wrapper,"autobahn, websockets"
marrlab/InstantDL,"keras, tensorboard"
maki-nage/makinage,pyyaml
arthurdjn/nets,numpy
tabahi/formantfeatures,"h5py, numba, numpy, scipy, wavio"
IBM/vision-tools,"opencv-python, requests"
agent87/youtube-uploader,"google-api-python-client, google-auth-httplib2, google-auth-oauthlib"
data-dev/DataTracer,"falcon, mlblocks, numpy, pandas, pyyaml, scikit-learn, tqdm"
nickkunz/nestedhyperboost,"catboost, lightgbm, numpy, pandas, sklearn, xgboost"
lucastsutsui/EmbML,"numpy, scikit-learn"
felixriese/hyperspectral-processing,"numpy, pandas, spectral, tqdm"
frankkramer-lab/ensmic,"aucmedi, pandas, pillow, tensorflow, tqdm"
beasteers/slurmjobs,jinja2
erdogant/treeplot,"funcsigs, graphviz, numpy, scikit-learn"
Scriptim/Abalone-BoAI,"colorama, inquirer"
Skielex/slgbuilder,"numpy, scikit-learn, scipy, thinqpbo"
LLNL/barni,"bokeh, cython, numpy, pandas, pyyaml, scikit-learn, scipy"
robertanto/bob_telegram_tools,"numpy, python-telegram-bot, tqdm"
zhuoyang125/CenterMask2,"cloudpickle, imagesize, pillow, tabulate, tensorboard, termcolor, tqdm, yacs"
PyRetri/PyRetri,"numpy, sklearn, torch, torchvision, tqdm, yacs"
ayoolaolafenwa/PixelLib,"cloudpickle, cython, dataclasses, future, imgaug, labelme2coco, omegaconf, opencv-python, pillow, pydot, pyqt5, scikit-image, tabulate, termcolor, tqdm, yacs"
SuperBruceJia/EEG-DL,"numpy, pandas, scipy, six, sklearn"
deel-ai/xplique,"deprecated, numpy, opencv-python, scikit-image, scikit-learn, scipy, tensorflow"
BlackHC/toma,torch
drorlab/atom3d,"argparse, biopython, click, h5py, lmdb, numpy, pandas, python-dotenv, scikit-learn, scipy, tables, torch, tqdm"
mseg-dataset/mseg-api,"imageio, numpy, opencv-python, pandas, pillow, scipy, torch, tqdm"
Alpha-Video/AlphaVideo,"easydict, requests, yacs"
LINCellularNeuroscience/VAME,"numpy, opencv-python, pandas, pathlib, pytest-shutil, pyyaml, ruamel-yaml, scipy, sklearn"
dogsheep/dogsheep-photos,"boto3, sqlite-utils"
google-deepmind/dm_hard_eight,"absl-py, docker, grpcio, numpy, portpicker"
JanPalasek/ulozto-captcha-breaker,tensorflow
ShengkaiWu/IoU-aware-single-stage-object-detector,"numpy, pycocotools, six, terminaltables"
beasteers/randomname,fire
melloddy/SparseChem,"numpy, packaging, pandas, pynvml, scikit-learn, scipy, torch, tqdm"
kxytechnologies/kxy-python,"halo, ipywidgets, numpy, pandas, requests, scikit-learn, scipy"
QB3/sparse-ho,"celer, download, numba, numpy, scikit-learn, scipy, seaborn"
lkmklsmn/insct,"anndata, hnswlib, numpy, pandas, scanpy, scipy, sklearn, tensorflow"
UCA-Datalab/nilm-thresholding,"keras, numpy, pandas, scikit-learn, seaborn, tables, tensorflow, toml, torch, torchvision, typer"
kaunghtetsan275/pyidaungsu,"emoji, fasttext, numpy, pybind11, python-crfsuite"
gattia/cycpd,numpy
amzn/differential-privacy-bayesian-optimization,"numpy, tensorflow"
intuit/RBHC,"jupyter, numpy, pandas, scikit-learn"
LeoLaugier/conditional-auto-encoder-text-to-text-transfer-transformer,"google-api-python-client, google-cloud-storage, t5, torchtext, transformers"
openredact/nerwhal,"flashtext, pydantic, spacy, stanza, torch"
BGU-CS-VIL/dpmmpython,julia
cadop/seg1d,"numba, numpy, scikit-learn, scipy"
maxpumperla/cthulhu,keras
CAMRIatUNC/RodentMRISkullStripping,"keras, numpy, simpleitk, tensorflow"
ChristophReich1996/ToeffiPy,numpy
zuds-survey/zuds-pipeline,"astropy, astroquery, fitsio, numpy, pandas, photutils, psycopg2, pytest, pyyaml, requests, scipy, simplejson, sncosmo, sqlalchemy"
hahnicity/ventmode,"numpy, pandas, prettytable, scikit-learn, scipy"
shilewenuw/trade_stat_logger,"numpy, pandas, pytz, statsmodels"
arung-northwestern/pacmof,"numpy, pymatgen"
danieljtait/ladax,"dataclasses, jax, numpy"
Shawn-Shan/fawkes,"bleach, keras, mtcnn, numpy, pillow, tensorflow"
lucidrains/axial-attention,torch
mit-han-lab/hardware-aware-transformers,"cffi, configargparse, cython, numpy, regex, sacrebleu, sacremoses, tensorboardx, torch, tqdm, ujson"
nasa/delta,"appdirs, gdal, mlflow, pillow, portalocker, scipy, shapely, tensorflow, tensorflow-addons"
stevewongv/InstanceShadowDetection,"cloudpickle, future, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
awslabs/speech-representations,"gluonnlp, numpy, soundfile"
finos/datahub,"faker, numpy, pandas, scipy"
samuelcolvin/notbook,"aiohttp, devtools, jinja2, misaka, pygments, typer, watchgod"
ferencberes/ethereum-privacy,"networkx, numpy, pandas, seaborn, tqdm"
supsi-dacd-isaac/mbtr,"lightgbm, networkx, numba, numpy, pandas, requests, scipy, seaborn, tqdm, twisted"
oliverguhr/german-sentiment-lib,"torch, transformers"
criteo/deepr,"cluster-pack, fire, mlflow, numpy, pandas, pyarrow, skein"
StatguyUser/BaselineRemoval,"numpy, scikit-learn, scipy"
StatguyUser/TextFeatureSelection,"nltk, numpy, pandas, scikit-learn, xgboost"
nyk510/vivid,"feather-format, joblib, lightgbm, networkx, numpy, pandas, scikit-learn, scipy, seaborn, tabulate, tqdm, xgboost"
Xilinx/pyxir,"h5py, numpy, packaging, pydot"
sivulich/mqttasgi,"channels, django, paho-mqtt, python-dotenv"
carefree0910/carefree-ml,"pillow, scikit-learn, scipy"
Res2Net/Res2Net-detectron2,"cloudpickle, future, mock, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
Kainmueller-Lab/PatchPerPix,"colorcet, cython, h5py, joblib, natsort, networkx, numpy, pycuda, scikit-image, scipy, tifffile, toml, tqdm, zarr"
mila-iqia/DeepDrummer,"numpy, scipy, six, sounddevice, soundfile, torch, torchaudio"
cwitkowitz/amt-tools,"jams, librosa, mido, mir-eval, numpy, pandas, requests, sacred, scipy, sounddevice, tensorboard, tensorboardx, torch, tqdm"
senwu/dauphin,"emmental, pytorch-pretrained-bert, spacy, torch, torchtext, torchvision"
yicjia/DeepQuantreg,"keras, numpy, pandas, scipy, sklearn, tensorflow"
forgi86/pytorch-ident,"numpy, scipy, torch"
tabVersion/wechat_notify,requests
ncaptier/stabilized-ica,"joblib, networkx, numpy, pandas, python-picard, scikit-learn, scipy, tqdm, umap-learn"
vanvalenlab/deepcell-spots,"jupyter, networkx, numpy, opencv-python-headless, pandas, plotly, pyro-ppl, scikit-image, scikit-learn, scipy, statsmodels, tensorflow, torch, torchvision, tqdm"
lav-kush/MotionRec,"cython, keras, opencv-python, pillow, scipy, six"
kclip/snn,"numpy, tables, torch"
rdkit/mongo-rdkit,"attrs, importlib-metadata, more-itertools, packaging, pluggy, py, pymongo, pyparsing, pytest, wcwidth, zipp"
iancovert/dl-selection,"numpy, torch"
SpikeKing/GazeML-Export,"coloredlogs, dlib, h5py, numpy, opencv-python, pandas, ujson"
AdamantLife/Gwern2DeepDanbooru,"click, pillow"
StatguyUser/SNgramExtractor,spacy
bethgelab/magapi-wrapper,"pandas, requests, setuptools, tabulate, typing-extensions"
Layout-Parser/layout-parser,"numpy, opencv-python, pandas, pdf2image, pdfplumber, pillow, pyyaml, scipy"
idiap/fast-transformers,torch
pfnet/pfrl,"filelock, gym, numpy, pillow, torch"
lucidrains/linear-attention-transformer,"einops, torch"
st-tech/zr-obp,"mypy-extensions, numpy, pandas, pingouin, pyyaml, scikit-learn, scipy, seaborn, torch, tqdm"
jerryji1993/DNABERT,numpy
facebookresearch/WavAugment,"torch, torchaudio"
hedyhli/starcli,"click, requests, rich, xdg"
snap-stanford/deepsnap,"networkx, numpy, torch"
ferru97/PyPaperBot,"astroid, beautifulsoup4, bibtexparser, certifi, chardet, colorama, crossref-commons, future, idna, isort, lazy-object-proxy, mccabe, numpy, pandas, pylint, pyparsing, python-dateutil, pytz, ratelimit, requests, six, soupsieve, toml, urllib3, wrapt"
ibaiGorordo/pyKinectAzure,"numpy, opencv-python"
carefree0910/carefree-learn,"accelerate, filelock, safetensors"
adapt-python/adapt,"cvxopt, numpy, scikeras, scikit-learn, scipy, tensorflow"
MECLabTUDA/M3d-Cam,"certifi, cycler, decorator, future, imageio, kiwisolver, markdown, markupsafe, networkx, nibabel, numpy, packaging, pandas, pillow, pyparsing, python-dateutil, pytz, pywavelets, scikit-image, scipy, simpleitk, six"
yxgeee/OpenIBL,"h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
asmirnou/watsor,"cerberus, numpy, opencv-python-headless, paho-mqtt, pillow, pyyaml, scipy, shapely, werkzeug"
OATML/oatomobile,"absl-py, gym, imageio, networkx, pandas, pygame, scikit-image, scipy, seaborn, tabulate, tqdm, transforms3d"
FalkonML/falkon,"keopscore, numpy, pykeops, scikit-learn, scipy, torch, wheel"
petuum/autodist,"netifaces, numpy, paramiko, pyyaml"
valayDave/arxiv-miner,"arxiv, click, dateparser, elasticsearch, elasticsearch-dsl, numpy, pandas"
gncs/molgym,"ase, gym, numpy, pandas, scipy"
caiqi/sample-weighting-network,"numpy, pycocotools, six, terminaltables, torch"
Media-Smart/flexinfer,"addict, numpy, opencv-python"
lanagarmire/DeepProg,"colour, dill, keras, numpy, scikit-learn, scipy, seaborn, simplejson, tabulate, tensorflow, theano"
ck37/coral-ordinal,"numpy, tensorflow"
artificial-intelligence-class/spherov2.py,"numpy, transforms3d"
guchengxi1994/mask2json,"lxml, numpy, opencv-python, pillow, pyyaml, scikit-image, scipy, termcolor, tqdm, xmltodict"
fizisist/LorentzGroupNetwork,"colorlog, h5py, numpy, scikit-learn, scipy, torch"
mahdihosseini/RMSGD,"numpy, scipy, torch"
qgrad/qgrad,numpy
inria-thoth/mlxp,"dill, gitpython, omegaconf, pandas, ply, pyyaml, tinydb"
gncs/graphdg,"ase, graph-nets, networkx, numpy, pandas"
rlai-lab/Regularized-GradientTD,"numpy, torch"
hongyuanmei/neural-datalog-through-time,"numpy, pydatalog, sqlalchemy, torch"
xinshi-chen/l2stop,torch
CBICA/BrainMaGe,"nibabel, numpy, pytorch-lightning, scikit-image, torch"
NREL/m2p,"casadi, numpy, pandas, tqdm"
google-deepmind/dm_construction,"absl-py, docker, grpcio, numpy, portpicker, scipy, setuptools, shapely"
kalyaniuniversity/MC4,"numpy, pandas"
DequanWang/CoDeNet,"cloudpickle, future, mock, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
tlawrence3/amPEPpy,"biopython, numpy, pandas, scikit-learn"
tud-ccc/compy-learn,"appdirs, gitpython, numpy, pandas, pygraphviz, tensorflow, torch, torch-geometric, tqdm"
baigouy/EPySeg,"czifile, deprecated, elasticdeform, markdown, natsort, numba, numexpr, numpy, pandas, pillow, prettytable, pyperclip, pyqt5, pyqt6, qtpy, roifile, scikit-image, scikit-learn, scipy, segmentation-models, tensorflow, tifffile, tqdm, urllib3"
SRI-AIC/InterestingnessXRL,"numpy, pygame"
totient-bio/gatnn-vs,"cytoolz, feather-format, pandas, tensorboard, torch, tqdm"
jlakkis/CarDEC,"numpy, pandas, scipy"
jmribeiro/yaaf,"gym, numpy, pyparsing, pyyaml, sklearn, torch, tqdm"
agentos-project/agentos,"click, dill, dulwich, mlflow, python-dotenv, pytoml, pyyaml, regex, requests, rich"
lz356/SSSS,"beautifulsoup4, numpy, pandas"
eth-sri/robust-code,"datasketch, grequests, networkx, nltk, pandas, pycparser, pygments, pytest, scikit-learn, torch, torchtext, tqdm"
git-disl/EnsembleBench,"numpy, scikit-learn, statsmodels"
abhayspawar/leak-detect,"numpy, pandas"
jeffrichardchemistry/pyCheckmol,"numpy, pandas"
machine-learning-apps/mystify,wheel
CRANE-toolbox/analysis-pipelines,"argparse, num2words, pandas, pathlib, typing, wordsegment"
flyandlure/gapandas,"google-api-python-client, oauth2client, pandas"
gerberlab/mditre,"ete3, jupyterlab, numpy, pandas, pyqt5, scikit-learn, scipy, seaborn"
danieljtait/tenfem,"tensorflow, tensorflow-probability"
carefree0910/carefree-data,"datatable, scikit-learn"
xingpingdong/HP-Tracking,gym
weishiyan/Physics-Informed-Reinforcement-Learning,"gym, keras, numpy, pandas, scipy, tensorflow, tqdm"
ml-jku/hopfield-layers,"numpy, torch"
google-research/torchsde,"numpy, scipy, torch"
lorey/mlscraper,"beautifulsoup4, lxml, more-itertools"
microsoft/fastseq,"absl-py, filelock, numpy, packaging, pytorch-transformers, requests, rouge-score, torch"
Christopher-Thornton/hmni,tensorflow
jaswinder9051998/zoofs,"colorlog, numpy, pandas, plotly, scipy"
d-li14/PSConv,"numpy, pycocotools, six, terminaltables, torch"
areed1192/portfolio-optimization,"numpy, pandas, python-dateutil, requests, scikit-learn, scipy"
thieu1995/permetrics,"numpy, scipy"
wbawakate/fairtorch,torch
otaheri/bps_torch,"numpy, torch"
Media-Smart/volkscv,"cython, cytoolz, lxml, opencv-python, scipy, torch"
CompVis/invariances,"numpy, requests, torch, tqdm"
IBM/vsrl-framework,"comet-ml, numpy, parsimonious, pillow, portion, pytorch-lightning, scipy, toml, torch, torchvision"
shenyunhang/DRN-WSOD-pytorch,"cloudpickle, future, mock, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
Lipairui/textgo,"gensim, jieba, numpy, pandas, scikit-learn, torch, tqdm, transformers"
czagoni/darkgreybox,"joblib, pandas"
ds4n6/ds4n6_lib,"gensim, ipython, ipywidgets, keras, nbformat, networkx, numpy, pandas, pyparsing, python-evtx, qgrid, requests, ruamel-yaml, sklearn, tensorflow, tqdm, traitlets, xmltodict"
med-air/FL-COVID,"cython, opencv-python, pillow, scipy, tensorflow, tqdm"
zackchen-lb/fasterseq,"cffi, cython, numpy, regex, sacrebleu, torch, tqdm"
ecker-lab/object-centric-representation-benchmark,"h5py, motmetrics, numpy, opencv-python, torch, torchvision"
lih627/autocrop,"face-detection, numpy, opencv-python, torch, torchvision"
Fixy-TR/DeepChecker,"keras, tensorflow"
hhaootian/getarticle,requests
olawaleibrahim/petroeval,"lightgbm, numpy, pandas, xgboost"
hagabbar/vitamin_c,"absl-py, asn1crypto, astor, astroplan, astropy, astroquery, beautifulsoup4, bilby, cachetools, certifi, cffi, chardet, cloudpickle, corner, cryptography, cycler, cython, decorator, dill, dynesty, emcee, future, gast, google-auth, google-auth-oauthlib, grpcio, gwosc, gwpy, h5py, html5lib, idna, jeepney, joblib, keyring, kiwisolver, ligo-gracedb, ligo-skymap, markdown, mock, networkx, numexpr, numpy, oauthlib, opt-einsum, pandas, pillow, pyasn1, pyasn1-modules, pycparser, pymc3, pyopenssl, pyparsing, python-dateutil, python-ligo-lw, pytz, pyyaml, reproject, requests, requests-oauthlib, rsa, scikit-learn, scikit-optimize, scipy, seaborn, secretstorage, six, soupsieve, tables, tensorboard, tensorflow, tensorflow-estimator, tensorflow-probability, termcolor, tqdm, universal-divergence, urllib3, webencodings, werkzeug, wrapt"
medoidai/skrobot,"featuretools, joblib, numpy, numpyencoder, pandas, plotly, scikit-learn, scikit-plot"
valeoai/ESL,"cffi, easydict, future, pyyaml, scikit-image, scipy, setuptools, tensorboardx, tqdm"
reml-lab/URSABench,"numpy, torch"
yongzhuangliulab/DeepSVFilter,"numpy, opencv-python, pillow, pysam, scikit-learn, scipy, tensorflow-gpu"
best-of-acrv/refinenet,"numpy, pillow, pycocotools, scipy, six, torch, torchvision"
juneau-project/juneau,"networkx, notebook, numpy, omegaconf, pandas, psycopg2, py2neo, sqlalchemy"
fagonzalezo/qmc,scipy
BaratiLab/ManufacturingNet,"pillow, scikit-learn, sklearn, timm, xgboost"
NeptuneProjects/RISCluster,"cmocean, h5py, jupyterlab, numpy, obspy, pandas, pydotplus, python-dotenv, scikit-learn, scipy, tensorboard, torch, torchvision, tqdm"
mrl-amrl/DeepHAZMAT,"numpy, opencv-python"
tihbe/python-ebdataset,"h5py, numpy, pint, torch, torchvision, tqdm"
leftthomas/GPUView,"bottle, gevent, gpustat"
labmlai/annotated_deep_learning_paper_implementations,"einops, numpy, torch, torchtext, torchvision"
lucidrains/denoising-diffusion-pytorch,"accelerate, einops, numpy, pillow, pytorch-fid, scipy, torch, torchvision, tqdm"
georgian-io/Multimodal-Toolkit,"accelerate, importlib-metadata, networkx, numpy, pandas, pytest, sacremoses, scikit-learn, scipy, torch, tqdm, transformers"
graykode/commit-autosuggestions,"click, gitpython, packaging, whatthepatch"
otaheri/MANO,"numpy, scipy, torch, trimesh"
divelab/MoleculeX,"captum, ipython, pandas, rdkit-pypi, scipy, shap, tqdm, typed-argument-parser"
datarootsio/ml-skeleton-py,"pandas, scikit-learn"
zdaxie/SpatiallyAdaptiveInference-Detection,"numpy, pycocotools, six, terminaltables"
thoppe/instafilter,"numpy, opencv-python, torch"
grockious/lcrl,"dill, imageio, numpy, tensorflow, tqdm"
RoboticsClubIITJ/ML-DL-implementation,"numpy, pandas, scipy"
kpoeppel/pytorch_probgraph,"numpy, setuptools, sphinx, sphinx-rtd-theme, torch, tqdm"
DanielhCarranza/ml-production-template,"pylint, torch, torchvision"
stateoftheartai/sotaai,scikit-image
Open-Book-Genome-Project/TheBestBookOn.com,"pep8, pyflakes, virtualenv"
fetchai/colearn,"google-cloud-storage, numpy, onnx, onnxmltools, pydantic"
CPJKU/audioLIME,"librosa, numba, numpy, scikit-learn, scipy"
ViktorC/PararealML,"mpi4py, numpy, scikit-learn, scipy, sympy, tensorflow, tensorflow-probability"
philschmid/efsync,"boto3, paramiko, scp"
core-ml/coreml,"natsort, opencv-python, pandas, pillow, pytorch-lightning, pyyaml, scikit-learn, termcolor, timm, torch, torchaudio, torchtext, torchvision, tqdm, xgboost"
elvissoares/PyDFTlj,"numpy, pandas, scienceplots, scipy, torch"
b-fg/SANSpy,"keras, numpy, scipy, tensorflow"
danielzuegner/robust-gcn-structure,"cvxpy, numpy, scikit-learn, scipy, torch, tqdm"
YukeWang96/SGQuant,"ase, googledrivedownloader, h5py, jinja2, networkx, numba, numpy, pandas, plyfile, rdflib, requests, scikit-learn, scipy, torch, tqdm"
aimat-lab/NNsForMD,"numpy, scikit-learn"
steven-mi/tfx-gpt2,"absl-py, apache-beam, mlflow, pandas, pyarrow, pymongo, pyyaml, regex, requests, tensorflow, tensorflow-serving-api, tokenizers, toposort, tqdm"
datamllab/tods,"grpcio-testing, keras, more-itertools, nimfa, numpy, pillow, pyod, pywavelets, scikit-learn, simplejson, statsmodels, tensorflow, xgboost"
DengBoCong/nlp-paper,"jieba, pyqt6"
JosephKJ/OWOD,"cloudpickle, future, mock, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
ying09/TextFuseNet,"cloudpickle, pillow, tabulate, tensorboard, termcolor, tqdm, yacs"
bdd100k/bdd100k,"joblib, motmetrics, numpy, pandas, pillow, pycocotools"
JovianHQ/opendatasets,"click, tqdm"
kssteven418/I-BERT,"cffi, cython, editdistance, numpy, regex, sacrebleu, torch, tqdm"
pycroscopy/atomai,"gpytorch, networkx, numpy, opencv-python, scikit-image, scikit-learn, scipy, torch, torchvision"
albumentations-team/autoalbument,"albumentations, click, colorama, pytorch-lightning, ruamel-yaml, segmentation-models-pytorch, tensorboard, timm, torch, tqdm"
haven-ai/haven-ai,"numpy, pandas, requests, tqdm"
alok-ai-lab/pyDeepInsight,"grad-cam, numpy, scikit-learn, scipy, torch"
vsaveris/trading-technical-indicators,"numpy, pandas, statsmodels"
sonovice/smude,"numpy, opencv-contrib-python, pytorch-lightning, requests, scikit-image, scipy, torch, torchvision, tqdm, typing, typing-extensions"
baidu/QCompute,"bidict, multiprocess, nanoid, numpy, requests, scipy, sympy, tqdm, websocket-client"
houqb/ssdlite-pytorch-mobilenext,"opencv-python, pytorch, torchvision, yacs"
spcl/daceml,dace
saturncloud/dask-pytorch-ddp,"dask, distributed, pillow, torch"
ulissigroup/finetuna,"ase, importlib-resources"
MasashiSode/mcs_kfold,"numpy, pandas, scikit-learn, scipy"
