full_name,included_libraries
NEWPLAN/deep-learning-from-scratch-2_building_framework,numpy
abeleinin/mlx-xLSTM,mlx
danpovey/conditional-flow-matching,"absl-py, clean-fid, lightning-bolts, matplotlib, numpy, pot, scanpy, scikit-learn, scipy, scprep, torch, torchvision"
OODRobustBench/OODRobustBench,"addict, einops, frozendict, robustbench, zenodo-get"
yyyyychen/LowMemoryBP,torch
reise69/Midjourney-sdk,requests
arcann-chem/arcann_training,"numpy, pyyaml"
noel319/big-sleep,"einops, fire, ftfy, regex, torch, torchvision, tqdm"
noel319/deep-daze,"einops, fire, ftfy, imageio, regex, torch, torchvision, tqdm"
wuxinwang1997/DABench,"hydra-core, pytorch-lightning"
autodistill/autodistill-paligemma,"accelerate, inference, numpy, peft, pillow, roboflow, sentencepiece, supervision, torch, transformers"
Shrimp-AI/shrimpgrad,"cffi, graphviz, numpy"
microsoft/TE-CCL,"argcomplete, dataclasses, gurobipy, numpy, seaborn"
ruvnet/agentic-reports,"exa-py, fastapi, flake8, litellm, pandas, pip-upgrader, pydantic, pydantic-settings, pytest, setuptools, twine, uvicorn, virtualenv, wheel"
merlresearch/sebbs,"numpy, pandas, pathlib, scipy, sed-scores-eval"
pantheon5100/pid_diffusion,"albumentations, blobfile, clean-fid, joblib, lmdb, numpy, pandas, scipy, torch, tqdm"
OpenOrion/nebula,"ipython-genutils, ipywidgets, jupyter-cadquery, jupyterlab, matplotlib, numpy, plotly"
osmr/pytorchcv,"numpy, requests, torch, torchvision"
mzbac/mlx-nougat,"mlx, numpy, pillow, requests, transformers, wand"
fufankeji/MateGen,"beautifulsoup4, cryptography, google-api-python-client, google-auth, google-auth-oauthlib, html2text, ipython, lxml, matplotlib, nbconvert, numpy, oss2, pandas, pymysql, python-dateutil, python-dotenv, requests, seaborn, tiktoken"
cohere-ai/DiskVectorIndex,"cohere, faiss-cpu, indexed-zstd, numpy, packaging, tqdm"
chisasaw/redcache-ai,"numpy, scikit-learn"
adept-thu/GraphBEV,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
mzbac/mlx_sharding,"grpcio, grpcio-tools, mlx, mlx-lm, numpy, transformers"
rushizirpe/open-llm-server,"fastapi, numpy, pydantic, pydantic-settings, requests, torch, transformers, uvicorn"
hhchen1105/mini-ml,"numpy, scikit-learn"
Yanbo-23/Proto-Comp,"argparse, easydict, einops, filelock, fire, h5py, humanize, ipdb, matplotlib, numpy, open3d, opencv-python, pillow, pyyaml, requests, scikit-image, scipy, timm, tqdm, transforms3d"
CeMOS-IS/Robust-Minisets,"fire, scikit-image, torch, torchvision, tqdm"
omron-sinicx/com_kitchens,"datasets, ffmpeg, ffmpeg-python, fsspec, hydra-colorlog, hydra-core, lightning, numpy, pillow, torch, torchvision, transformers"
djamahl99/findnpropagate,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
mingukkang/elatentlpips,"diffusers, matplotlib, numpy, scipy, torch, torchvision, tqdm"
ZinYY/StreamingWavelet,numpy
EasyShopAI/rag-lab,"loguru, matplotlib, networkx, numpy, pandas, regex, requests, tqdm"
RevylAI/CogniSim,"attrs, loguru, lxml, numpy"
YBZh/OpenOOD-VLM,"faiss-gpu, gdown, imgaug, json5, libmr, matplotlib, opencv-python, pandas, pre-commit, pyyaml, scikit-learn, scipy, torch, torchvision, tqdm"
zekikus/MedSegBench,"numpy, pillow, scikit-image, scikit-learn, segmentation-models-pytorch, torch, torchvision"
SNU-VGILab/e-latentlpips,"accelerate, diffusers, ninja, numpy, safetensors, scipy, torch"
Lesterpaintstheworld/AutonomousAIs,"aiohappyeyeballs, flask, gevent, gunicorn, requests, streamlit"
ravin-d-27/PyDeepFlow,"colorama, jupyter, matplotlib, numpy, pandas, scikit-learn, tqdm"
omidsakhi/lorakit,"accelerate, diffusers, peft, pyyaml, torch, torchvision, transformers"
smullins998/Tr4der,"matplotlib, numpy, pandas, pyyaml, scikit-learn, seaborn, tensorflow, yfinance"
PinJhih/ddp-trainer,"matplotlib, numpy, torch, tqdm"
naver-ai/ZIM,"onnx, onnxruntime-gpu"
mzguntalan/zephyr,"jax, jaxlib"
DRakkola/NQvision,"deep-sort-realtime, numba, numpy, opencv-python, pillow, torch, torchvision, vidgear"
DrewThomasson/offlineYoutube,"argparse, beautifulsoup4, faiss-cpu, faster-whisper, gradio, numpy, pandas, pysrt, requests, sentence-transformers"
MPA2suite/autoWTE,"ase, h5py, numpy, pandas, phonopy, tqdm"
mickwzh/codecon,"bertopic, gensim, importlib-resources, jieba, matplotlib, nltk, numpy, openpyxl, pandas, pip, scikit-learn, seaborn, torch, tqdm, transformers, xlrd"
sypsyp97/convnext_perceptual_loss,"torch, torchvision"
KOSASIH/QCA-Core,"matplotlib, numpy, pandas, seaborn"
KOSASIH/qni-core,"joblib, matplotlib, numpy, pandas, pytest, qutip, scikit-learn, scipy, seaborn"
q1xiangchen/VMPs,"einops, torch"
ConnectedMotion/augflow,"matplotlib, numpy, opencv-python, pytest, pyyaml, shapely, tqdm"
shanghaizhoushus/lightgbm_feature_importance_evaluator_zhoumath,"lightgbm, numpy, pandas, scikit-learn, shap"
magic-research/vector_quantization,"accelerate, debugpy, openmim, scikit-image, transformers"
ruvnet/agentic-security,"click, pytest, python-dotenv, pyyaml, requests"
zhangyl660/DCDM,"blobfile, torch, tqdm"
super-dev03/huggingface-inference-segemark,"huggingface-hub, librosa, numpy, phonemizer, pillow"
trungpx/xmdpt,"blobfile, torch, tqdm"
awsm-research/PyExplainer,"ipython, ipywidgets, numpy, pandas, scikit-learn, scipy, statsmodels"
UMCUtrecht-ECGxAI/ecgxai,"numpy, pandas, pytorch-lightning, scikit-learn, scipy, torch, torchmetrics, tqdm"
cisco-open/ResponsibleAI,"adversarial-robustness-toolbox, aif360, fairlearn, nltk, numpy, pandas, python-dotenv, scikit-learn, sqlitedict, tensorflow, torch, torchmetrics, torchvision"
stavrostheocharis/easy_explain,"captum, matplotlib, opencv-python, pillow, scikit-learn, scipy, torch, torchcam, torchvision, ultralytics"
lucidrains/phenaki-pytorch,"accelerate, beartype, einops, numpy, opencv-python, pillow, sentencepiece, torch, torchtyping, torchvision, tqdm, transformers, vector-quantize-pytorch"
yihong0618/2023,"pendulum, requests"
TextToVideoAI/TextToVideoAI,"accelerate, beartype, einops, numpy, opencv-python, pillow, sentencepiece, torch, torchtyping, torchvision, tqdm, transformers, vector-quantize-pytorch"
jbrukh/gpt-jargon,"click, langchain, prompt-toolkit, termcolor"
MR-X-junior/fbthon,"bs4, requests, requests-toolbelt"
Pan-ML/panml,"accelerate, datasets, faiss-cpu, huggingface-hub, numpy, pandas, peft, sentence-transformers, tokenizers, torch, tqdm, transformers"
abryant710/auto-codebase-documenter,"python-dotenv, pyyaml"
ajayarunachalam/gui-pandas-ai,"datapane, lux-api, pandasai, seaborn, streamlit"
baileytec-labs/aidetector,"halo, pandas, scikit-learn, spacy, torch, torchtext"
pytorch-labs/segment-anything-fast,"diskcache, pycocotools, scikit-image, scipy, torch, torchao, torchvision"
KoushikNavuluri/stable-diffusion-xl-api,requests
SemanticBrainCorp/SemanticShield,"better-profanity, exrex, faker, presidio-analyzer, spacy"
KindOPSTAR/QualiGPT,"nltk, openpyxl, pandas, pyqt5, python-docx"
thoddnn/open-datagen,"audiocraft, datasets, elevenlabs, jsonschema, llama-cpp-python, mistralai, numpy, openai-whisper, pandas, pillow, pydantic, python-dotenv, requests, spacy, tenacity, tiktoken, torch, trafilatura"
gathnexadmin/Linkedin_Automation_with_Generative_AI,"beautifulsoup4, regex, requests"
LyzrCore/lyzr,"aenum, asyncio, beautifulsoup4, langchain, litellm, llama-index, llmsherpa, nest-asyncio, pandas, python-dotenv, weaviate-client"
prompt-security/ps-fuzz,"argparse, colorama, fastparquet, inquirer, langchain, langchain-community, langchain-core, pandas, prettytable, prompt-toolkit, python-dotenv, tqdm"
flushai/flush,"dropbox, google-api-python-client, google-auth-oauthlib, google-search-results, opencv-python, pillow, pymupdf, pytube, requests, setuptools"
aws-samples/amazon-bedrock-synthetic-manufacturing-data-generator,"aws-cdk-lib, boto3, cfn-lint, pre-commit, pytest"
stefankirchfeld/gptextual,"httpx, humanize, langchain, langchain-core, polars, pydantic, pyperclip, pyyaml, rich, setuptools, shortuuid, textual, tiktoken"
mlsquare/fedem,"accelerate, datasets, einops, huggingface-hub, peft, torch, transformers"
AnswerDotAI/cold-compress,torch
dai-motoki/niwatoko,"google-cloud-aiplatform, moviepy, opencv-python, streamlit"
ContextData/VectorETL,"azure-storage-blob, boto3, botocore, cffi, cohere, google-generativeai, mysql-connector-python, pandas, pinecone-client, psycopg2-binary, pydantic, pympler, pymysql, python-dotenv, requests, simple-salesforce, singlestoredb, stripe, tiktoken, vecs, weaviate-client"
omidsakhi/lorakit,"accelerate, diffusers, peft, pyyaml, torch, torchvision, transformers"
mickwzh/codecon,"bertopic, gensim, importlib-resources, jieba, matplotlib, nltk, numpy, openpyxl, pandas, pip, scikit-learn, seaborn, torch, tqdm, transformers, xlrd"
kyegomez/the-compiler,swarms
kyegomez/Blockwise-Parallel-Transformer,"jax, torch"
Agora-Lab-AI/The-Distiller,"click, langchain"
lucidrains/DALLE-pytorch,"axial-positional-embedding, einops, ftfy, packaging, pillow, regex, tokenizers, torch, torchvision, tqdm, transformers, webdataset"
UKPLab/EasyNMT,"fasttext, nltk, numpy, sentencepiece, torch, tqdm, transformers"
sooftware/conformer,"numpy, torch"
nlp-uoregon/trankit,"adapters, filelock, numpy, requests, tokenizers, torch, tqdm, transformers"
lucidrains/se3-transformer-pytorch,"einops, filelock, numpy, torch"
luyug/Reranker,"datasets, torch, transformers"
shibing624/pke_zh,"jieba, loguru, networkx, numpy, pandas, requests, scikit-learn, scipy, six, text2vec, tqdm"
LYH-YF/MWPToolkit,"gensim, nltk, ray, stanza, sympy, torch, transformers, word2number"
luyug/GC-DPR,"faiss-cpu, filelock, numpy, regex, spacy, torch, tqdm, transformers"
nlpcloud/nlpcloud-python,requests
wangyu09/exkaldi-rt,"easydict, numpy, pyaudio, webrtcvad"
bigdata-ustc/EduNLP,"jieba, networkx, numpy"
dobby-seo/kosr,"python-levenshtein, torch"
ebanalyse/fuzzup,"numpy, pandas, rapidfuzz, scipy, tqdm"
kjsman/dialogue-generation-models,"sentencepiece, tensorflow, torch, transformers"
upskyy/Automatic-Speech-Recognition-Models,"python-levenshtein, torch"
Jaynil1611/syn-qg,torch
hyunwoongko/openchat,"torch, transformers"
krishnap25/mauve,"faiss-cpu, numpy, requests, scikit-learn, tqdm"
facebookresearch/diffq,"numpy, torch"
lucidrains/En-transformer,"einops, einx, torch"
Cyberbolt/Cemotion,"joblib, modelscope, numpy, requests, torch, tqdm, transformers"
upskyy/Transformer-Transducer,"numpy, torch"
amazon-science/fact-check-summarization,"cffi, numpy, pandas, pathos, regex, sacrebleu, scispacy, spacy, torch, tqdm"
SamsungLabs/nb-asr,"git-python, networkx, numpy, tensorflow, torch, torchaudio, tqdm"
jungokasai/T2R,"cffi, numpy, regex, sacrebleu, torch, tqdm"
lucidrains/perceiver-pytorch,"einops, torch"
Ki6an/fastT5,"onnx, onnxruntime, sentencepiece, torch, transformers"
voidful/TextRL,"gym, transformers"
practical-data-science/ecommercetools,"gapandas, pandas, requests, requests-html, sklearn"
danielzuegner/code-transformer,"environs, joblib, jsonpickle, networkx, numpy, pandas, pygments, pytest, pyyaml, requests, rouge, sacred, scikit-learn, scipy, six, torch, tqdm, transformers"
berlino/tensor2struct-public,"astor, attrs, babel, dacite, edit-distance, editdistance, einops, networkx, nltk, numpy, pyrsistent, pytest, records, sacrebleu, scipy, sentencepiece, spacy, spacy-stanza, stanza, tabulate, timeout-decorator, torch, torchtext, tqdm, transformers, unidecode, wandb"
asahi417/relbert,"datasets, huggingface-hub, numpy, pandas, scikit-learn, sentencepiece, torch, tqdm, transformers"
lucidrains/coco-lm-pytorch,"einops, torch, x-transformers"
Foysal87/sbnltk,"gdown, pandas, pytorch-pretrained-bert, scikit-learn, sentence-transformers, sklearn-crfsuite, tensorflow, torch, transformers"
sooftware/deepspeech2,"numpy, torch"
cromatikap/btw,"colored, inquirer, toml, wheel"
hypnopump/ClynMut,"einops, mdtraj, numpy, sidechainnet, torch, tqdm"
murali1996/CodemixedNLP,"matplotlib, numpy, pytorch-pretrained-bert, sklearn, torch, tqdm, transformers, wordsegment"
iPieter/universal-distillation,pytorch-lightning
princeton-nlp/SimCSE,"numpy, scikit-learn, scipy, setuptools, torch, tqdm, transformers"
shibing624/textgen,"datasets, gensim, jieba, loguru, pandas, peft, rouge, sacremoses, tensorboard, text2vec, tqdm, transformers, wandb"
geekjr/quickai,"coremltools, matplotlib, numpy, scikit-learn, transformers"
sooftware/lightning-asr,"astropy, hydra-core, numpy, pandas, python-levenshtein, pytorch-lightning, sentencepiece, torch"
sinovation/ZEN2,"boto3, numpy, regex, requests, tqdm"
thu-coai/LAUG,"allennlp, checksumdir, dataclasses, embeddings, future, fuzzywuzzy, gtts, jieba, nltk, numpy, pillow, pydub, python-levenshtein, pytorch-pretrained-bert, pyyaml, quadprog, requests, scikit-learn, scipy, simplejson, spacy, tensorboard, tokenizers, torch, tqdm, transformers, unidecode, visdom"
Codingplace42/django-simple-chatbot,"django, djangorestframework, nltk"
bmschmidt/nonconsumptive,"polars, pyarrow, pysrp, pyyaml"
zengyan-97/MultiT-C-Dialog,"boto3, numpy, requests, tqdm"
KhalilMrini/Medical-Question-Understanding,"cffi, editdistance, numpy, regex, sacrebleu, torch, tqdm"
BaguaSys/bagua,"colorama, flask, gevent, gorilla, numpy, parallel-ssh, prometheus-client, pydantic, pytest-benchmark, requests, scikit-learn, scikit-optimize, setuptools-rust, tqdm, xxhash"
lucidrains/g-mlp-pytorch,"einops, torch"
Shivanandroy/simpleT5,"numpy, pandas, pytorch-lightning, sentencepiece, torch, transformers"
scaomath/galerkin-transformer,"matplotlib, numpy, plotly, pyyaml, scipy, seaborn, torch, torchinfo, tqdm"
DaDaMrX/ReaLiSe,"boto3, numpy, regex, requests, sacremoses, sentencepiece, tqdm"
AutoViML/deep_autoviml,"ipython, jupyter, matplotlib, numpy, tensorflow"
lucidrains/g-mlp-gpt,"einops, torch"
zhengxxn/adaptive-knn-mt,"cffi, dataclasses, hydra-core, numpy, regex, sacrebleu, torch, tqdm"
nostalgebraist/transformer-utils,"colorcet, seaborn, torch, tqdm, transformers"
WorksApplications/chikkarpy,sortedcontainers
Glaciohound/Chimera-ST,"cffi, dataclasses, editdistance, hydra-core, numpy, regex, sacrebleu, torch, tqdm"
Open-Speech-EkStep/indic-punct,"certifi, indic-nlp-library, inflect, numpy, pandas, python-dateutil, pytz, scipy, sentencepiece, six, tokenizers, torch, torchvision, tqdm, transformers"
thunlp/Knowledge-Inheritance,"cffi, numpy, regex, sacrebleu, torch, tqdm"
wangcunxiang/Can-PLM-Serve-as-KB-for-CBQA,"numpy, pandas, regex, requests, scikit-learn, scipy, seqeval, streamlit, tokenizers, tqdm, transformers, wandb"
SaptakBhoumik/easySpeech,"librosa, numpy, sounddevice, transformers"
Ankush7890/ssfinetuning,"datasets, matplotlib, torch, transformers"
Mlair77/nmt_adequacy,"flask, future, six, tensorboard, torch, torchtext, tqdm"
lavis-nlp/CoRT,"more-itertools, numpy, pytorch-lightning, torch, tqdm, transformers"
epfl-dlab/pairformance,"matplotlib, numpy, pandas, scipy, seaborn"
LZhengisme/CODA,cffi
openspeech-team/openspeech,"astropy, hydra-core, levenshtein, numpy, pandas, pytorch-lightning, sentencepiece, torch, wandb"
lucidrains/rotary-embedding-torch,"einops, torch"
rabeehk/compacter,"datasets, matplotlib, scikit-learn, tensorboard, torch, transformers"
WorksApplications/SudachiTra,"logzero, tokenizers, transformers"
shibing624/relext,"hanlp, importlib-metadata, loguru, nltk, paddlenlp, tabulate"
upskyy/ContextNet,torch
xuchenneu/SATE,cffi
code-kern-ai/refinery-python-sdk,"boto3, botocore, datasets, numpy, pandas, requests, spacy"
megagonlabs/ginza-transformers,spacy-transformers
ictnlp/NA-MNMT,"cffi, fastbpe, numpy, regex, sacrebleu, torch, tqdm"
SamuelCahyawijaya/greenformer,"cvxopt, matplotlib, matrix-fact, scipy, seaborn, sklearn, torch, transformers"
Beomi/exbert-transformers,dataclasses
naver/splade,transformers
tunib-ai/parallelformers,"dacite, torch, transformers"
asahi417/lm-question-generation,"bert-score, datasets, evaluate, huggingface-hub, numpy, pandas, pyemd, pytextrank, ray, requests, sentencepiece, spacy, torch, tqdm, transformers, wandb"
tanyuqian/ctc-gen-eval,"bert-score, cleantext, datasets, nltk, transformers"
asappresearch/sew,"einops, matplotlib, numpy, pandas, requests, torch, tqdm"
sidphbot/Auto-Research,"arxiv, bert-extractive-summarizer, boto3, keybert, pdftotext, pillow, pip, pymupdf, requests, scholarly, scispacy, sentence-transformers, sentencepiece, tabula-py, transformers, unicodedata2"
sooftware/luna-transformer,"numpy, torch"
danieldeutsch/repro,"datasets, docker, joblib, pytest, six"
Zeqiang-Lai/torchlight,"colorama, munch, pyyaml, qqdm, readchar, tqdm"
halwesit/News-Recommender-MIND,"bottleneck, category-encoders, jinja2, lightfm, lightgbm, matplotlib, memory-profiler, nltk, numba, numpy, pandas, pymanopt, pyyaml, requests, scikit-learn, scikit-surprise, scipy, seaborn, tqdm, transformers"
easynlp/easynlp,"datasets, fastapi, pandas, torch, transformers, uvicorn"
ofirpress/attention_with_linear_biases,cffi
MuQiuJun-AI/bert4pytorch,"numpy, torch"
AI21Labs/lm-evaluation,"pandas, requests, tqdm"
mega002/ff-layers,"cffi, numpy, regex, sacrebleu, torch, tqdm"
kernelmachine/demix,cffi
whitead/nlcc,"click, importlib-metadata, importlib-resources, numpy, prompt-toolkit, pyperclip, pyrate-limiter, pyyaml, rich, tabulate"
hypnopump/rgn2-replica,"datasets, einops, fair-esm, numpy, pytorch-lightning, sidechainnet, torch, tqdm, transformers, wandb, x-transformers"
aisingapore/sgnlp,"datasets, nltk, numpy, pandas, scikit-learn, sentencepiece, spacy, tokenizers, torch, torchtext, transformers"
BaratiLab/AugLiChem,"ase, chardet, jupyter, matplotlib, numpy, pandas, pymatgen, pytest, pytest-cov, pyyaml, rdkit-pypi, scikit-learn, tensorboard, torch, tqdm"
NTT123/pax,jax
cicl-stanford/moca,"ipython, nltk, numpy, pandas, promptsource, requests, scikit-learn, scipy, sklearn, spacy, stanza, termcolor, together, torch, tqdm, transformers"
MicroscopeMaestro/spectramap,"numpy, scikit-learn, scipy"
stanojevic/Fast-MST-Algorithm,numpy
lightonai/lightonmuse,"numpy, requests"
fractalego/zero-shot-relation-extractor,"jupyterlab, numpy, torch, transformers"
ttt496/vit-pytorch,"einops, torch, torchvision"
mjvallone/phruzz-matcher,"rapidfuzz, setuptools, wheel"
lucidrains/triton-transformer,"einops, torch"
aws-samples/amazon-textract-transformer-pipeline,"aws-cdk-lib, boto3, cdk-ecr-deployment, constructs"
UB-Mannheim/spacyopentapioca,"requests, spacy"
cambridgeltl/composable-sft,"conllu, datasets, huggingface-hub, seqeval"
jxhe/efficient-knnlm,"cffi, numpy, regex, sacrebleu, torch, tqdm"
csebuetnlp/normalizer,"emoji, ftfy, regex"
esalesky/visrep,cffi
Mo0nl19ht/youtube_crawler,"google-api-python-client, oauth2client, pandas, pytube, tqdm"
fe1ixxu/BiBERT,"cffi, dataclasses, editdistance, hydra-core, numpy, regex, sacrebleu, torch, tqdm"
sunzewei2715/Graformer,cffi
BirgerMoell/tmh,"argparse, deep-phonemizer, diffusers, inflect, librosa, noisereduce, numpy, pydub, python-dotenv, scipy, speechbrain, torch, torchaudio, transformers, unidecode"
cl-tohoku/AIO2_DPR_baseline,"faiss-cpu, filelock, numpy, regex, spacy, torch, tqdm, transformers"
yilinyang7/fairseq_multi_fix,cffi
henryzhao5852/DistDR,"faiss-cpu, filelock, numpy, regex, spacy, torch, tqdm, transformers"
lxuechen/private-transformers,"jupyter, jupyterlab, numpy, opt-einsum, pytest, scipy, torch, transformers"
felipemaiapolo/legalnlp,ftfy
McGill-NLP/bias-bench,"accelerate, datasets, nltk, scikit-learn, scipy, torch, transformers"
microsoft/HittER,"argparse, dataclasses, networkx, numba, pandas, pytorch-lightning, pytorch-pretrained-bert, pyyaml, regex, sqlalchemy, torch, torchviz"
asappresearch/slue-toolkit,"datasets, editdistance, einops, fire, matplotlib, numpy, pandas, requests, seqeval, sklearn, soundfile, torch, tqdm, transformers"
process-intelligence-research/ReLU_ANN_MILP,"gurobipy, matplotlib, numpy, pyomo, tensorflow, tqdm"
frankxu2004/knnlm-why,"cffi, numpy, regex, sacrebleu, torch, tqdm"
haraai/ParsiNorm,"nltk, urlextract"
jinmang2/DOOLY,dataclasses
indobenchmark/indobenchmark-toolkit,"datasets, sentencepiece, torch, transformers"
smallbenchnlp/ELECTRA-DeBERTa,"scipy, sklearn, torch, transformers"
alon-albalak/TLiDB,"bert-score, nltk, scikit-learn, sentencepiece, torch, transformers"
booknlp/booknlp,"spacy, tensorflow, torch, transformers"
google/flaxformer,"chex, flax, jax, numpy"
fkodom/clip-text-decoder,"evaluate, gdown, numpy, pytorch-lightning, spacy, torch, torchvision, transformers"
lucidrains/hourglass-transformer-pytorch,"einops, torch"
jdallen83/sm_content_clustering,"fasttext, pandas"
ShannonAI/GNN-LM,"cffi, numpy, regex, sacrebleu, torch, tqdm"
Vishnunkumar/craft_hw_ocr,"craft-text-detector, numpy, opencv-python, pillow, transformers"
Serbian-AI-Society/SrbAI,"classla, nltk, nlu, numpy, torch"
TobiasHeOl/AbLang,"numba, numpy, pandas, requests, torch"
aridevelopment-de/datetimeparser,"python-dateutil, pytz, typing"
zhengzx-nlp/REDER,"cffi, dataclasses, editdistance, hydra-core, numpy, regex, sacrebleu, scipy, torch, tqdm"
sadhusamik/fdlp_spectrogram,"click, numpy, scipy, typeguard"
bloomberg/emnlp21_fewrel,"scikit-learn, torch, transformers, ujson"
facebookresearch/Sphere,"requests, tqdm"
MLNLP-World/SimBiber,"argparse, tqdm"
infinitylogesh/mutate,"datasets, jinja2, numpy, pandas, torch, tqdm, transformers"
oxpig/AbLang,"numba, numpy, pandas, requests, torch"
rish-16/grafog,"torch, torch-geometric"
CPJKU/wechsel,"datasets, fasttext, gensim, nltk, requests, scikit-learn, scipy, tqdm"
old-wang-95/easy-bert,"datasets, numpy, onnxruntime-gpu, scikit-learn, torch, transformers"
nlp-greyfoss/metagrad,numpy
xwgeng/RewriteNAT,"cffi, numpy, regex, sacrebleu, torch, tqdm"
ShuHuang/batterydataextractor,"appdirs, beautifulsoup4, cssselect, lxml, numpy, requests, scispacy, selenium, six, spacy, torch, torchaudio, torchvision, transformers"
lucidrains/RETRO-pytorch,"autofaiss, einops, numpy, sentencepiece, torch, tqdm"
neonbjb/ocotillo,"ffmpeg, requests, scipy, tokenizers, torch, torchaudio, tqdm, transformers"
IBM/regression-transformer,"modlamp, numpy, tqdm, transformers"
FangShancheng/ABINet-PP,"cloudpickle, matplotlib, pillow, polygon3, rapidfuzz, scikit-image, shapely, tabulate, tensorboard, termcolor, tqdm, yacs"
RaphaelOlivier/robust_speech,"torch, transformers"
codenamewei/youtube2text,"ffmpeg-python, librosa, numpy, pandas, pydub, pytube, soundfile"
bltlab/mot,click
kili-technology/automl,"cleanlab, click, datasets, evaluate, ipython, jinja2, more-itertools, nltk, numpy, opencv-python, ratelimit, requests, scikit-learn, seqeval, tabulate, termcolor, tqdm, transformers, typing-extensions, wandb"
shibing624/similarities,"autofaiss, fire, jieba, loguru, pillow, requests, text2vec, transformers"
OpenBMB/ModelCenter,"jieba, transformers"
r-three/git-theta,"gitdb, gitpython"
zetaalphavector/InPars,"accelerate, ftfy, pyyaml, torch, transformers"
oliverguhr/deepmultilingualpunctuation,"torch, transformers"
shibing624/CodeAssist,"datasets, loguru, pandas, tqdm, transformers"
McGill-NLP/polytropon,"scipy, torch, transformers, typing"
George0828Zhang/torch_cif,torch
celtics1863/envtext,"datasets, einops, gensim, jieba, numpy, palettable, pandas, torch, tqdm, transformers"
language-ml/parsi.io,"camel-tools, gdown, tqdm"
princeton-nlp/semsup,"datasets, gensim, jsonargparse, pytorch-lightning, scikit-learn, torch, torchvision, transformers, wandb"
farhad-abdi/InSilicoQ,"matplotlib, numpy, pandas, pylatexenc, qiskit, rdkit-pypi, seaborn, sentencepiece, torch, transformers"
ecscstatsconsulting/morphemes,"asciitree, click, openpyxl, pandas, requests, tabulate, tinydb"
ChrisIsKing/zero-shot-text-classification,"datasets, gdown, huggingface-hub, nltk, requests, scikit-learn, sentence-transformers, spacy, tenacity, torch, transformers"
MathieuCayssol/DimReductionClustering,requests
lucidrains/memory-efficient-attention-pytorch,"einops, torch"
facebookresearch/distributed-faiss,"faiss-cpu, filelock, numpy, regex, submitit, torch"
OpenBMB/BMCook,torch
neonbjb/tts-scores,"einops, ffmpeg, inflect, pytorch-fid, requests, scipy, tokenizers, torch, torchaudio, tqdm, transformers, unidecode"
AlekseyKorshuk/optimum-transformers,"coloredlogs, datasets, matplotlib, onnx, onnxruntime, optimum, seaborn, sentencepiece, tokenizers, transformers"
Shivanandroy/KeyPhraseTransformer,"nltk, transformers"
microsoft/KID,"nltk, numpy, spacy, tensorboard, torch, tqdm, transformers"
Hunter-DDM/stablemoe,cffi
IamAdiSri/hf-trim,"numpy, sentencepiece, tokenizers, torch, tqdm, transformers"
ictnlp/STEMM,cffi
david0oo/fslp,numpy
zja-nlp/NAT_with_DAD,cffi
jasonyux/FastKASSIM,"nltk, numpy, scipy"
lucidrains/flamingo-pytorch,"einops, torch"
lucidrains/PaLM-pytorch,"einops, torch"
archinetai/surgeon-pytorch,torch
voidism/DiffCSE,"datasets, gradio, pandas, prettytable, scikit-learn, scipy, setuptools, torch"
lucidrains/PaLM-jax,"einops, equinox, jax, jaxlib, numpy, optax"
princeton-nlp/DinkyTrain,cffi
YilunZhou/ExSum,"dill, flask, numpy, scipy, tqdm"
archinetai/smart-pytorch,torch
UBC-NLP/turjuman,"accelerate, datasets, pandas, regex, sacrebleu, sentencepiece, torch, tqdm, transformers"
code-kern-ai/embedders,"cohere, numpy, scikit-learn, sentence-transformers, spacy, torch, tqdm, transformers"
JunnYu/GAU-alpha-pytorch,transformers
BramVanroy/spacy_download,spacy
keg-tucn-nlp/adn,torch
ysw1021/AGG,"cffi, nltk, numpy, pandas, pytorch-transformers, regex, sacrebleu, scipy, torch, tqdm"
lucidrains/imagen-pytorch,"accelerate, beartype, click, datasets, einops, fsspec, kornia, numpy, packaging, pillow, pydantic, pytorch-warmup, sentencepiece, torch, torchvision, tqdm, transformers"
FlagAI-Open/FlagAI,"accelerate, boto3, datasets, diffusers, einops, ftfy, jieba, nltk, pandas, pillow, pytorch-lightning, pyyaml, sacrebleu, safetensors, scikit-learn, sentencepiece, setuptools, tensorboard, timm, transformers"
lucidrains/CoCa-pytorch,"einops, torch"
ml-jku/hopular,"fairscale, pandas, pytorch-lightning, scikit-learn"
princeton-nlp/TRIME,"cffi, numpy, regex, sacrebleu, torch, tqdm"
thu-coai/DA-Transformer,cffi
shibing624/nerpy,"datasets, loguru, numpy, pandas, scipy, seqeval, tensorboard, tqdm, transformers"
ANSSI-FR/AnoMark,"certifi, numpy, pandas, python-dateutil, pytz, six, tqdm"
neulab/retomaton,"cffi, numpy, regex, sacrebleu, torch, tqdm"
France-Travail/gabarit,"jinja2, packaging"
dangxingyu/OpenBMB,"jieba, transformers"
google-coral/aiy-maker-kit,"numpy, opencv-python, pyaudio, pycoral, tflite-runtime, tflite-support"
shibing624/text2vec-service,"loguru, numpy, pyzmq, six, text2vec, transformers"
lucidrains/parti-pytorch,"einops, torch, torchvision, transformers, vector-quantize-pytorch"
upskyy/Squeezeformer,"numpy, torch"
